country,city,city_year,city_average_temp,global_year,global_avg_temp
United States,Los Angeles,1849,15.71,1849,7.98
United States,Los Angeles,1850,15.28,1850,7.90
United States,Los Angeles,1851,15.53,1851,8.18
United States,Los Angeles,1852,15.61,1852,8.10
United States,Los Angeles,1853,16.27,1853,8.04
United States,Los Angeles,1854,15.74,1854,8.21
United States,Los Angeles,1855,15.94,1855,8.11
United States,Los Angeles,1856,15.52,1856,8.00
United States,Los Angeles,1857,16.19,1857,7.76
United States,Los Angeles,1858,15.67,1858,8.10
United States,Los Angeles,1859,15.29,1859,8.25
United States,Los Angeles,1860,15.41,1860,7.96
United States,Los Angeles,1861,16.51,1861,7.85
United States,Los Angeles,1862,16.05,1862,7.56
United States,Los Angeles,1863,15.88,1863,8.11
United States,Los Angeles,1864,16.62,1864,7.98
United States,Los Angeles,1865,15.89,1865,8.18
United States,Los Angeles,1866,16.33,1866,8.29
United States,Los Angeles,1867,16.51,1867,8.44
United States,Los Angeles,1868,16.09,1868,8.25
United States,Los Angeles,1869,16.05,1869,8.43
United States,Los Angeles,1870,15.64,1870,8.20
United States,Los Angeles,1871,15.89,1871,8.12
United States,Los Angeles,1872,15.66,1872,8.19
United States,Los Angeles,1873,15.70,1873,8.35
United States,Los Angeles,1874,15.33,1874,8.43
United States,Los Angeles,1875,16.19,1875,7.86
United States,Los Angeles,1876,15.70,1876,8.08
United States,Los Angeles,1877,16.24,1877,8.54
United States,Los Angeles,1878,15.44,1878,8.83
United States,Los Angeles,1879,15.55,1879,8.17
United States,Los Angeles,1880,14.36,1880,8.12
United States,Los Angeles,1881,15.65,1881,8.27
United States,Los Angeles,1882,14.85,1882,8.13
United States,Los Angeles,1883,15.52,1883,7.98
United States,Los Angeles,1884,15.28,1884,7.77
United States,Los Angeles,1885,16.44,1885,7.92
United States,Los Angeles,1886,15.74,1886,7.95
United States,Los Angeles,1887,15.62,1887,7.91
United States,Los Angeles,1888,15.91,1888,8.09
United States,Los Angeles,1889,16.22,1889,8.32
United States,Los Angeles,1890,15.80,1890,7.97
United States,Los Angeles,1891,15.63,1891,8.02
United States,Los Angeles,1892,15.33,1892,8.07
United States,Los Angeles,1893,14.95,1893,8.06
United States,Los Angeles,1894,14.83,1894,8.16
United States,Los Angeles,1895,15.36,1895,8.15
United States,Los Angeles,1896,16.10,1896,8.21
United States,Los Angeles,1897,15.32,1897,8.29
United States,Los Angeles,1898,15.65,1898,8.18
United States,Los Angeles,1899,15.59,1899,8.40
United States,Los Angeles,1900,16.08,1900,8.50
United States,Los Angeles,1901,15.72,1901,8.54
United States,Los Angeles,1902,15.08,1902,8.30
United States,Los Angeles,1903,15.49,1903,8.22
United States,Los Angeles,1904,16.24,1904,8.09
United States,Los Angeles,1905,15.52,1905,8.23
United States,Los Angeles,1906,15.74,1906,8.38
United States,Los Angeles,1907,15.46,1907,7.95
United States,Los Angeles,1908,15.17,1908,8.19
United States,Los Angeles,1909,15.01,1909,8.18
United States,Los Angeles,1910,15.94,1910,8.22
United States,Los Angeles,1911,14.82,1911,8.18
United States,Los Angeles,1912,14.84,1912,8.17
United States,Los Angeles,1913,15.20,1913,8.30
United States,Los Angeles,1914,15.65,1914,8.59
United States,Los Angeles,1915,15.43,1915,8.59
United States,Los Angeles,1916,14.60,1916,8.23
United States,Los Angeles,1917,15.59,1917,8.02
United States,Los Angeles,1918,15.65,1918,8.13
United States,Los Angeles,1919,15.34,1919,8.38
United States,Los Angeles,1920,15.06,1920,8.36
United States,Los Angeles,1921,15.76,1921,8.57
United States,Los Angeles,1922,15.31,1922,8.41
United States,Los Angeles,1923,15.39,1923,8.42
United States,Los Angeles,1924,15.69,1924,8.51
United States,Los Angeles,1925,15.72,1925,8.53
United States,Los Angeles,1926,16.60,1926,8.73
United States,Los Angeles,1927,15.41,1927,8.52
United States,Los Angeles,1928,15.98,1928,8.63
United States,Los Angeles,1929,16.10,1929,8.24
United States,Los Angeles,1930,15.99,1930,8.63
United States,Los Angeles,1931,16.60,1931,8.72
United States,Los Angeles,1932,15.40,1932,8.71
United States,Los Angeles,1933,15.40,1933,8.34
United States,Los Angeles,1934,17.03,1934,8.63
United States,Los Angeles,1935,15.50,1935,8.52
United States,Los Angeles,1936,16.60,1936,8.55
United States,Los Angeles,1937,15.68,1937,8.70
United States,Los Angeles,1938,15.89,1938,8.86
United States,Los Angeles,1939,16.30,1939,8.76
United States,Los Angeles,1940,16.53,1940,8.76
United States,Los Angeles,1941,15.62,1941,8.77
United States,Los Angeles,1942,15.77,1942,8.73
United States,Los Angeles,1943,16.12,1943,8.76
United States,Los Angeles,1944,15.03,1944,8.85
United States,Los Angeles,1945,15.70,1945,8.58
United States,Los Angeles,1946,15.65,1946,8.68
United States,Los Angeles,1947,15.98,1947,8.80
United States,Los Angeles,1948,15.09,1948,8.75
United States,Los Angeles,1949,15.36,1949,8.59
United States,Los Angeles,1950,16.20,1950,8.37
United States,Los Angeles,1951,15.76,1951,8.63
